date,price
10/1/2021,81.48
11/1/2021,79.15
12/1/2021,71.71
1/1/2022,83.22
2/1/2022,91.64
3/1/2022,108.5
4/1/2022,101.78
5/1/2022,109.55
6/1/2022,114.84
7/1/2022,101.62
8/1/2022,93.67
9/1/2022,84.26
10/1/2022,87.55
11/1/2022,84.37
12/1/2022,76.44
1/1/2023,78.12
2/1/2023,76.83
3/1/2023,73.28
4/1/2023,79.45
5/1/2023,71.58
6/1/2023,70.25
7/1/2023,76.07
8/1/2023,81.39
9/1/2023,89.43
10/1/2023,85.64
11/1/2023,77.69
12/1/2023,71.9
1/1/2024,74.15
2/1/2024,77.25
3/1/2024,81.28
4/1/2024,85.35
5/1/2024,80.02
6/1/2024,79.77
7/1/2024,81.8
